,name,lat,lng,vicinity,city
0,Northern Chemicals,18.8074282,98.9719289,"Chang Phueak, Mueang Chiang Mai District","RX4C+XQ Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
1,World Chemical,18.7625521,98.99455329999999,"ป่าแดด 261/3-6, ถนนมหิดล, ตำบลป่าแดด อำเภอเมืองเชียงใหม่ เมือง","QX7V+2R Pa Daet Sub-district, Mueang Chiang Mai District, Chiang Mai"
2,BBT CHEMICAL,18.741392,98.9721024,"175/1 Somphot Chiang Mai 700 Pi Rd, Pa Daet Sub-district, Mueang Chiang Mai District","PXRC+HR Pa Daet Sub-district, Mueang Chiang Mai District, Chiang Mai"
3,หจก.นอร์ทเทอร์นเคมิเคิล แอนด์ กลาสแวร์,18.8073057,98.9714965,"Chang Phueak, Mueang Chiang Mai District","RX4C+WH Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
4,ร้านป่าไผ่การเกษตรและเคมีภัณฑ์,18.827377,99.18038399999999,หมู่ 2 บ้าน ป่า ไผ่ แม่โป่ง ดอยสะเก็ด,"R5GJ+X5 Mae Pong, Doi Saket District, Chiang Mai"
5,"บริษัท เคมีก้า อินโนเวชั่น จำกัด © Chemika Innovation Co., Ltd.",18.7336348,99.1121656,"หมู่ที่ 8 244 Chae Chang, San Kamphaeng District","P4M6+FV San Kamphaeng, San Kamphaeng District, Chiang Mai"
6,World Chemical,18.5532165,99.0474163,"109 หมู่ 2 Pa Sak, Mueang Lamphun District","H23W+7X Pa Sak, Mueang Lamphun District, Lamphun"
7,"United Chemical and Trading Co.,Ltd.",18.7561899,99.0005401,โครงการ K-Park เลขที่ 111 18 ซอย 2 อ.เมือง,"Q242+F6 Pa Daet Sub-district, Mueang Chiang Mai District, Chiang Mai"
8,บมจ.พีรพัฒน์ เทคโนโลยี สาขาเชียงใหม่,18.7429878,99.0081944,"369 หมู่ 1 ถนนวงแหวนรอบกลาง Nong Phueng, Saraphi District","P2V5+57 Nong Phueng, Saraphi District, Chiang Mai"
9,M. V. K. Chemical Company Limited,18.6669544,99.0935875,"Ban Thi, Ban Thi District","M38V+QC Ban Thi, Ban Thi District, Lamphun"
10,United Chemical and Trading Company Limited,18.7555408,99.0007262,"111/18 โครงการ K-Park Mahidol Rd, อ.เมือง","Q242+67 Pa Daet Sub-district, Mueang Chiang Mai District, Chiang Mai"
11,053 Chemical Brothers Barber & Salon,18.7956663,98.9715576,"16/1 Siri Mangkalajarn Rd Lane 5, Tambon Su Thep, อ.เมือง","QXWC+7J Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
12,Bavornpon Chemical,18.6397746,99.04178789999999,232 อำเภอเมือง Mueang Lamphun District,"J2QR+WP Umong, Mueang Lamphun District, Lamphun"
13,"C.M. Chemical & Lab Supplies LTD.,PART",18.807805,98.9789196,"11 Chotana Soi 6, ต.ช้างเผือก Mueang Chiang Mai District","RX5H+4H Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
14,"M.V. Chemical Co., Ltd.",18.66771,99.093396,"Ban Thi, Ban Thi, Lamphun, 51180","M39V+39 Ban Thi, Ban Thi District, Lamphun"
15,ไพศาล พาณิชย์ การเกษตร,18.6856643,99.14077879999999,"15 ม.10 Huai Yap, Ban Thi District","M4PR+78 Huai Yap, Ban Thi District, Lamphun"
16,ห้างหุ้นส่วนจำกัดนอร์ทเทอร์นเคมิเคิล,18.8073208,98.9714793,154/2 หมู่ 2 ถ ถนน ซุปเปอร์ไฮเวย์ เชียงใหม่-ลำปาง Mueang Chiang Mai District,"RX4C+WH Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
17,บริษัทลิ้มศักดากุลเคมีเกษตร จำกัด(ท่ารั้ว),18.8012571,99.06372739999999,"Chiang Mai Outer Ring Rd, สันปูเลย ดอยสะเก็ด","R327+GF San Pu Loei, Doi Saket District, Chiang Mai"
18,Paphada Cosmetic,18.7808318,99.0910883,"Ton Pao, San Kamphaeng District","Q3JR+8C Mae Khue, Doi Saket District, Chiang Mai"
19,ไอบัท เอเซีย จำกัด,18.84411,99.0861012,"133/110 Soi Mu Ban Ban Thawi Chok 3, Talat Khwan, Doi Saket District","R3VP+JC Talat Khwan, Doi Saket District, Chiang Mai"
20,Northern Chemicals,18.8074282,98.9719289,"Chang Phueak, Mueang Chiang Mai District","RX4C+XQ Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
21,World Chemical,18.7625521,98.99455329999999,"ป่าแดด 261/3-6, ถนนมหิดล, ตำบลป่าแดด อำเภอเมืองเชียงใหม่ เมือง","QX7V+2R Pa Daet Sub-district, Mueang Chiang Mai District, Chiang Mai"
22,BBT CHEMICAL,18.741392,98.9721024,"175/1 Somphot Chiang Mai 700 Pi Rd, Pa Daet Sub-district, Mueang Chiang Mai District","PXRC+HR Pa Daet Sub-district, Mueang Chiang Mai District, Chiang Mai"
23,หจก.นอร์ทเทอร์นเคมิเคิล แอนด์ กลาสแวร์,18.8073057,98.9714965,"Chang Phueak, Mueang Chiang Mai District","RX4C+WH Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
24,ร้านป่าไผ่การเกษตรและเคมีภัณฑ์,18.827377,99.18038399999999,หมู่ 2 บ้าน ป่า ไผ่ แม่โป่ง ดอยสะเก็ด,"R5GJ+X5 Mae Pong, Doi Saket District, Chiang Mai"
25,"บริษัท เคมีก้า อินโนเวชั่น จำกัด © Chemika Innovation Co., Ltd.",18.7336348,99.1121656,"หมู่ที่ 8 244 Chae Chang, San Kamphaeng District","P4M6+FV San Kamphaeng, San Kamphaeng District, Chiang Mai"
26,World Chemical,18.5532165,99.0474163,"109 หมู่ 2 Pa Sak, Mueang Lamphun District","H23W+7X Pa Sak, Mueang Lamphun District, Lamphun"
27,"United Chemical and Trading Co.,Ltd.",18.7561899,99.0005401,โครงการ K-Park เลขที่ 111 18 ซอย 2 อ.เมือง,"Q242+F6 Pa Daet Sub-district, Mueang Chiang Mai District, Chiang Mai"
28,บมจ.พีรพัฒน์ เทคโนโลยี สาขาเชียงใหม่,18.7429878,99.0081944,"369 หมู่ 1 ถนนวงแหวนรอบกลาง Nong Phueng, Saraphi District","P2V5+57 Nong Phueng, Saraphi District, Chiang Mai"
29,United Chemical and Trading Company Limited,18.7555408,99.0007262,"111/18 โครงการ K-Park Mahidol Rd, อ.เมือง","Q242+67 Pa Daet Sub-district, Mueang Chiang Mai District, Chiang Mai"
30,M. V. K. Chemical Company Limited,18.6669544,99.0935875,"Ban Thi, Ban Thi District","M38V+QC Ban Thi, Ban Thi District, Lamphun"
31,"C.M. Chemical & Lab Supplies LTD.,PART",18.807805,98.9789196,"11 Chotana Soi 6, ต.ช้างเผือก Mueang Chiang Mai District","RX5H+4H Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
32,053 Chemical Brothers Barber & Salon,18.7956663,98.9715576,"16/1 Siri Mangkalajarn Rd Lane 5, Tambon Su Thep, อ.เมือง","QXWC+7J Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
33,Bavornpon Chemical,18.6397746,99.04178789999999,232 อำเภอเมือง Mueang Lamphun District,"J2QR+WP Umong, Mueang Lamphun District, Lamphun"
34,"M.V. Chemical Co., Ltd.",18.66771,99.093396,"Ban Thi, Ban Thi, Lamphun, 51180","M39V+39 Ban Thi, Ban Thi District, Lamphun"
35,ไพศาล พาณิชย์ การเกษตร,18.6856643,99.14077879999999,"15 ม.10 Huai Yap, Ban Thi District","M4PR+78 Huai Yap, Ban Thi District, Lamphun"
36,ห้างหุ้นส่วนจำกัดนอร์ทเทอร์นเคมิเคิล,18.8073208,98.9714793,154/2 หมู่ 2 ถ ถนน ซุปเปอร์ไฮเวย์ เชียงใหม่-ลำปาง Mueang Chiang Mai District,"RX4C+WH Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
37,Paphada Cosmetic,18.7808318,99.0910883,"Ton Pao, San Kamphaeng District","Q3JR+8C Mae Khue, Doi Saket District, Chiang Mai"
38,ไอบัท เอเซีย จำกัด,18.84411,99.0861012,"133/110 Soi Mu Ban Ban Thawi Chok 3, Talat Khwan, Doi Saket District","R3VP+JC Talat Khwan, Doi Saket District, Chiang Mai"
39,เชียงใหม่โอ.พี.เอส. เคมีภัณฑ์,18.7892811,99.0085811,"373/14 ซอย เชียงใหม่-ลำพูน 3 Wat Ket, Mueang Chiang Mai District","Q2Q5+PC Chiang Mai, Mueang Chiang Mai District, Chiang Mai"
40,"Chemical House & Lab Instrument Co.,LTD",13.7615811,100.6028474,"98 ซอย รามคำแหง 21 Phlabphla, Wang Thonglang",QJ63+J4 Bangkok
41,Chemical Asia Company Limited,13.6606763,100.6272467,"12/15 Sukhumvit Rd, Bang Na , 10260, Bang Na",MJ6G+7V Bangkok
42,Indorama Chemicals (Thailand) Ltd.,13.7428327,100.5615333,"75/64-65 Ocean Tower 2, 28th Floor, Sukhumvit 19, Asoke Rd., Klongtoey Nuer Wattana, Bangkok 10110",PHV6+4J Bangkok
43,MC Industrial Chemical Company Limited,13.7408246,100.505514,"180-184 ถนน ราชวงศ์ Chakkrawat, Samphanthawong",PGR4+86 Bangkok
44,Superior Chemical Industry (Thailand) Company Limited,13.7680492,100.6089008,Bangkok,QJ95+6H Bangkok
45,"Siam Chemical Industry Co., Ltd.",13.7409059,100.5615844,"159/34 Serm-Mit Tower 20th Floor, Road (Asoke), North Klongtoey, Wattana,, 21 Sukhumvit Rd",PHR6+9J Bangkok
46,President Chemical Company Limited,13.729074,100.5260154,"54/15-17 Thanon Surawong, Si Phraya, Bang Rak",PGHG+JC Bangkok
47,"NP CHEMICAL SUPPLY CO.,LTD.",13.7732422,100.3868648,เลขที่ 42/1 ซอยมณฑลทอง หมู่ 19 ถนนพุทธมณฑล 2 แขวงศาลาธรรมสพน์ Thawi Watthana,Q9FP+7P Bangkok
48,"บริษัท วี.ซี. เคมิคอลส์ จำกัด V.C. Chemicals Co., Ltd",13.7075456,100.5318968,"178 Soi Chan 16, Thung Wat Don, Sathon",PG5J+2Q Bangkok
49,SCG Chemicals,13.8058794,100.5375315,"1 Siam Cement Alley, Bang Sue",RG4Q+92 Bangkok
50,บจก. ดาว เคมิคอล ประเทศไทย,13.71804,100.590477,"75 อาคารไวท์กรุ๊ป 2, ถนนสุขุมวิท 42, แขวงพระโขนง เขตคลองเตย กทม, 10110",PH9R+65 Bangkok
